"code" "island" "species" "sex" "sp_island"
"288" "nmh03016" "t" "mar" "M" "mar_t"
"289" "nmh03017" "t" "mar" "M" "mar_t"
"292" "nmh03061" "t" "igu" "M" "igu_t"
"293" "nmh03065" "t" "igu" "M" "igu_t"
"295" "nmh03247" "g" "gom" "M" "gom_g"
"296" "nmh03252" "g" "cal" "M" "cal_g"
"298" "nmh03255" "g" "gom" "M" "gom_g"
"299" "nmh03268" "c" "lio" "M" "lio_c"
"300" "nmh03269" "c" "lio" "M" "lio_c"
"301" "nmh03290" "c" "lio" "M" "lio_c"
"304" "ub002580" "t" "mon" "M" "mon_t"
"305" "ub002779" "t" "gib" "M" "gib_t"
"307" "ub002828" "g" "gom" "M" "gom_g"
"308" "ub002836" "f" "lon" "M" "lon_f"
"309" "ub002838" "f" "lon" "M" "lon_f"
"310" "ub002850" "f" "spi" "M" "spi_f"
"311" "ub002858" "l" "ale" "M" "ale_l"
"312" "ub002859" "l" "ale" "M" "ale_l"
"313" "ub002861" "l" "nes" "M" "nes_l"
"314" "ub002867" "l" "nes" "M" "nes_l"
"315" "ub002873" "l" "nes" "M" "nes_l"
"316" "ub002878" "l" "nes" "M" "nes_l"
"317" "ub002909" "g" "lev" "M" "lev_g"
"318" "ub002926" "g" "gom" "M" "gom_g"
"319" "ub002945" "g" "cal" "M" "cal_g"
"320" "ub002964" "g" "sil" "M" "sil_g"
"321" "ub003097" "t" "leg" "M" "lea_t"
"322" "ub003099" "t" "leg" "M" "lea_t"
"323" "ub003162" "t" "cri" "M" "cri_t"
"324" "ub003163" "t" "cri" "M" "cri_t"
"325" "ub003181" "t" "vet" "M" "ver_t"
"326" "ub003208" "t" "igu" "M" "igu_t"
"327" "ub003215" "t" "mat" "M" "mat_t"
"328" "ub004007" "h" "gom" "M" "gom_h"
"329" "ub004140" "g" "sil" "M" "sil_g"
"330" "ub004141" "g" "sil" "M" "sil_g"
"331" "crba2278" "p" "cal" "F" "cal_p"
"332" "crba2279" "p" "cal" "F" "cal_p"
"333" "crba2280" "p" "cal" "M" "cal_p"
"334" "crba2283" "p" "cal" "F" "cal_p"
"335" "crba2284" "p" "cal" "M" "cal_p"
"336" "crba2285" "p" "cal" "F" "cal_p"
"337" "crba2286" "p" "cal" "F" "cal_p"
"338" "crba2290" "p" "cal" "M" "cal_p"
"339" "crba2292" "p" "cal" "F" "cal_p"
"340" "crba2298" "p" "cal" "M" "cal_p"
"341" "crba2306" "p" "sil" "M" "sil_p"
"342" "crba2309" "p" "sil" "F" "sil_p"
"343" "crba2347" "p" "sil" "F" "sil_p"
"344" "crba2348" "p" "sil" "F" "sil_p"
"345" "crba2349" "p" "sil" "F" "sil_p"
"346" "crba2351" "p" "sil" "F" "sil_p"
"347" "crba2353" "p" "sil" "M" "sil_p"
"348" "crbs2759" "p" "sil" "M" "sil_p"
"349" "nmh01954" "c" "rug" "M" "rug_c"
"350" "nmh02034" "c" "ban" "F" "ban_c"
"351" "nmh02037" "c" "ban" "M" "ban_c"
"352" "nmh02038" "c" "ban" "M" "ban_c"
"353" "nmh02060" "c" "rug" "M" "rug_c"
"354" "nmh02064" "c" "rug" "F" "rug_c"
"355" "nmh02066" "c" "ban" "F" "ban_c"
"356" "nmh02705" "c" "ygu" "M" "ygu_c"
"357" "nmh02718" "c" "lio" "M" "lio_c"
"358" "nmh02720" "c" "lio" "M" "lio_c"
"359" "nmh02721" "c" "lio" "F" "lio_c"
"360" "nmh02740" "c" "lio" "F" "lio_c"
"361" "nmh02741" "c" "lio" "M" "lio_c"
"362" "ub000694" "c" "and" "M" "and_c"
"363" "ub000736" "c" "pau" "F" "pau_c"
"364" "ub000738" "c" "ban" "F" "ban_c"
"365" "ub002173" "c" "ban" "M" "ban_c"
"366" "ub002174" "c" "pau" "M" "pau_c"
"367" "ub002591" "c" "ara" "F" "ara_c"
"368" "ub002637" "c" "ban" "F" "ban_c"
"369" "ub002638" "c" "til" "M" "til_c"
"370" "ub002942" "c" "til" "M" "til_c"
"371" "ub002980" "c" "ara" "F" "ara_c"
"372" "ub002993" "c" "ara" "F" "ara_c"
"373" "ub002995" "c" "ara" "F" "ara_c"
"374" "ub002996" "c" "ara" "F" "ara_c"
"375" "ub002997" "c" "ara" "F" "ara_c"
"376" "ub002998" "c" "lio" "F" "lio_c"
"377" "ub003000" "c" "til" "F" "til_c"
"378" "ub003001" "c" "lio" "M" "lio_c"
"379" "ub003002" "c" "lio" "F" "lio_c"
"380" "ub003007" "c" "ban" "F" "ban_c"
"381" "ub003010" "c" "ban" "F" "ban_c"
"382" "ub003011" "c" "lio" "F" "lio_c"
"383" "ub003012" "c" "pau" "M" "pau_c"
"384" "ub003020" "c" "ban" "F" "ban_c"
"385" "ub003025" "c" "ara" "F" "ara_c"
"386" "ub003027" "c" "ara" "F" "ara_c"
"387" "ub003030" "c" "ara" "F" "ara_c"
"388" "ub003034" "c" "ara" "M" "ara_c"
"389" "ub003038" "c" "ban" "F" "ban_c"
"390" "ub003043" "c" "lio" "M" "lio_c"
"391" "ub003048" "c" "rug" "M" "rug_c"
"392" "ub003055" "c" "rug" "M" "rug_c"
"393" "ub003059" "c" "rug" "F" "rug_c"
"394" "ub003062" "c" "rug" "F" "rug_c"
"395" "ub003063" "c" "rug" "F" "rug_c"
"396" "ub003069" "c" "til" "F" "til_c"
"397" "ub003070" "c" "til" "M" "til_c"
"398" "ub003073" "c" "til" "F" "til_c"
"399" "ub003074" "c" "til" "M" "til_c"
"400" "ub003077" "c" "ban" "F" "ban_c"
"401" "ub003080" "c" "til" "F" "til_c"
"402" "ub003081" "c" "til" "M" "til_c"
"403" "ub003085" "c" "lio" "M" "lio_c"
"404" "ub003091" "c" "lio" "M" "lio_c"
"405" "ub003092" "c" "rug" "F" "rug_c"
"406" "ub003130" "c" "ban" "M" "ban_c"
"407" "ub003167" "c" "lio" "M" "lio_c"
"408" "ub003169" "c" "rug" "M" "rug_c"
"409" "ub034241" "c" "lio" "M" "lio_c"
"410" "crba3141" "c" "ara" "M" "ara_c"
"411" "crba3149" "c" "ara" "M" "ara_c"
"412" "crba3153" "c" "ara" "M" "ara_c"
"413" "crba3247" "t" "cur" "M" "cur_t"
"414" "crba3248" "t" "cur" "M" "cur_t"
"415" "crba0555" "l" "lan" "F" "lancerotensis"
"416" "crba0556" "l" "lan" "M" "lancerotensis"
"417" "crba2655" "l" "lan" "M" "lancerotensis"
"418" "crba2662" "l" "lan" "M" "lancerotensis"
"419" "crba3448" "c" "and" "F" "and_c"
"420" "nmh00341" "l" "lam" "M" "lancerotensis"
"421" "nmh01140" "f" "lan" "M" "lancerotensis"
"422" "nmh01292" "f" "lan" "F" "lancerotensis"
"423" "nmh01293" "f" "lan" "M" "lancerotensis"
"424" "nmh01994" "l" "lan" "F" "lancerotensis"
"425" "nmh01995" "l" "lan" "F" "lancerotensis"
"426" "nmh01996" "l" "lan" "M" "lancerotensis"
"427" "ub002840" "f" "lan" "F" "lancerotensis"
"428" "ub002855" "f" "lan" "M" "lancerotensis"
"429" "ub002856" "f" "lan" "F" "lancerotensis"
"430" "ub002869" "l" "lan" "M" "lancerotensis"
"431" "ub002870" "l" "lan" "F" "lancerotensis"
"432" "ub002871" "l" "lam" "M" "lancerotensis"
"433" "ub002872" "l" "lam" "M" "lancerotensis"
"434" "ub002892" "l" "lam" "M" "lancerotensis"
"435" "crba0692" "c" "and" "F" "and_c"
